,PROJECT.NAME,AGENCY.x,project.ZIP.x,project.CD.x,STATUS.x,artist.ZIP.x,project.START.date.x,FULL.1..amount.x,ART.contract...x,art.contract.START.x,COMMUNITY.MEETING.date.s..x,END.DATE.x,Hispanic..by.zip.code..2010,White..by.zip.code..2010,Black..by.zip.code..2010,Asian..by.zip.code..2010,Two.ore.more.races..by.zip.code..2010,American.Indian..by.zip.code..2010,Native.Hawaiin.or.Pacific.Islander...by.zip.code..2010,Age..25..by.zip.code..2010,Age.25.44..by.zip.code..2010,Age.45.64..by.zip.code..2010,Age..64..by.zip.code..2010,Median.Household.Income.1990.by.CD,Median.Household.Income.2000.by.CD,Median.Household.Income.2013.by.CD,X.x,X.1,X.y,project.ZIP.y,AGENCY.y,project.CD.y,STATUS.y,artist.ZIP.y,project.START.date.y,FULL.1..amount.y,ART.contract...y,art.contract.START.y,COMMUNITY.MEETING.date.s..y,END.DATE.y,Single.Family.Residences...City.Community,X2011,X2012,X2013,X2014,X2015,AGENCY,project.ZIP,project.CD,STATUS,artist.ZIP,project.START.date,FULL.1..amount,ART.contract..,art.contract.START,COMMUNITY.MEETING.date.s.,END.DATE,Year,Project.Neighborhood,Project.Area,Project.County,Artist.Neighborhood,Artist.Area,Artist.County,Local.Artist,Local.Artist2,Location.Type
208,Topanga Police Station | Youth Apprenticeship in Public Art [YAPA],Police,91304,3,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,"20,160","28,866","2,557","6,757","2,558",304,73,"17,473","16,119","12,789","5,769",NA,NA,"65,860.47",NA,,180,91304,Police,3,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,Los Angeles (Canoga Park),"424,650","420,350","490,050","557,750","588,150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,Truesdale Recycling & Disposal Center,DWP,91352,6,completed,90031,10/1/1994,"$25,000 ","$25,000 ",10/1/1994,,5/1/1996,"35,314","24,825",861,"3,034","1,917",401,89,"18,729","15,495","10,944","4,310",NA,NA,"47,493.67",NA,,222,91352,DWP,6,completed,90031,10/1/1994,"$25,000 ","$25,000 ",10/1/1994,,5/1/1996,Los Angeles (Sun Valley),"286,850","289,450","342,350","391,850","416,300",DWP,91352,6,completed,90031,10/1/1994,"$25,000 ","$25,000 ",10/1/1994,,5/1/1996,1996,Sun Valley,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,City Infrastructure
210,US-101 LA / Main Sts. Overcrossing Pedestrian Linkage | Infranatural,BIP,90012,14,completed,90026,12/6/2007,"$303,047 ","$298,499 ",12/6/2007,03/21/2008; 04/24/2008,2/5/2015,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,29,90012,BIP,14,completed,90026,12/6/2007,"$303,047 ","$298,499 ",12/6/2007,03/21/2008; 04/24/2008,2/5/2015,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",BIP,90012,14,completed,90026,12/6/2007,"$303,047 ","$298,499 ",12/6/2007,03/21/2008; 04/24/2008,2/5/2015,2015,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Bridge/Road Infrastructure
211,US-101 LA / Main Sts. Overcrossing Pedestrian Linkage | Ned Kahn,BIP,90012,14,completed,95472,12/6/2007,"$182,925 ","$149,999 ",12/6/2007,03/21/2008; 04/24/2008,12/5/2010,"8,426","8,432","4,260","13,696",870,186,56,"7,550","13,066","6,800","4,355",NA,NA,"38,032.33",NA,,26,90012,BIP,14,completed,95472,12/6/2007,"$182,925 ","$149,999 ",12/6/2007,03/21/2008; 04/24/2008,12/5/2010,Los Angeles (Civic Center/Chinatown),"294,300","304,100","364,800","421,700","470,700",BIP,90012,14,completed,95472,12/6/2007,"$182,925 ","$149,999 ",12/6/2007,03/21/2008; 04/24/2008,12/5/2010,2010,Los Angeles,Los Angeles,Los Angeles,Sebastopol,Sonoma,Sonoma,Not Local,From California,Bridge/Road Infrastructure
212,US-405 Sepulveda Pass Widening,BIP,90049,5,completed,90065,,"$25,000 ","$25,000 ",N/A,04/08/2010; 04/22/2010; 05/27/2010,,"1,934","29,864",514,"3,076","1,398",48,27,"8,358","12,405","9,440","6,573",NA,NA,"64,545.08",NA,,139,90049,BIP,5,completed,90065,,"$25,000 ","$25,000 ",N/A,04/08/2010; 04/22/2010; 05/27/2010,,Los Angeles (Bel Air Estates/Brentwood),"1,963,550","1,986,650","2,269,500","2,714,550","2,885,350",BIP,90049,5,completed,90065,,"$25,000 ","$25,000 ",N/A,04/08/2010; 04/22/2010; 05/27/2010,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Bridge/Road Infrastructure
213,Valley Boulevard Grade Separation,BOE,90032,14,completed,90042,8/26/2002,"$180,000 ","$226,000 ",8/8/2002,02/25/03 & 1/14/08,3/25/2012,"37,372","20,608","1,050","5,120","1,878",680,33,"17,822","14,823","9,785","4,809",NA,NA,"38,032.33",NA,,77,90032,BOE,14,completed,90042,8/26/2002,"$180,000 ","$226,000 ",8/8/2002,02/25/03 & 1/14/08,3/25/2012,Los Angeles (El Sereno/Monterey Hills),"275,900","284,950","358,450","380,650","400,850",BOE,90032,14,completed,90042,8/26/2002,"$180,000 ","$226,000 ",8/8/2002,02/25/03 & 1/14/08,3/25/2012,2012,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Bridge/Road Infrastructure
214,Valley Communications Dispatch Center,Police,91304,12,completed,91106,11/16/2004,"$68,200 ","$40,000 ",11/16/2004,12/10/2004,5/31/2007,"28,866","20,160","6,757","2,558","2,557",304,73,"17,473","16,119","12,789","5,769",NA,NA,"66,792.32",NA,,182,91304,Police,12,completed,91106,11/16/2004,"$68,200 ","$40,000 ",11/16/2004,12/10/2004,5/31/2007,Los Angeles (Canoga Park),"424,650","420,350","490,050","557,750","588,150",Police,91304,12,completed,91106,11/16/2004,"$68,200 ","$40,000 ",11/16/2004,12/10/2004,5/31/2007,2007,Canoga Park,San Fernando Valley,Los Angeles,Pasadena,Pasadena,Los Angeles,City Artist,Local,Fire/Police Station
215,Valley Plaza Branch Library,Library,91605,2,completed,91324,12/15/2000,"$20,000 ","$20,000 ",12/15/2000,3/12/2001,10/27/2004,"35,668","27,562","1,933","5,525","2,590",371,38,"21,686","19,011","12,784","4,780",NA,NA,"38,673.58",NA,,256,91605,Library,2,completed,91324,12/15/2000,"$20,000 ","$20,000 ",12/15/2000,3/12/2001,10/27/2004,Los Angeles (North Hollywood),"299,550","304,400","352,700","419,200","445,200",Library,91605,2,completed,91324,12/15/2000,"$20,000 ","$20,000 ",12/15/2000,3/12/2001,10/27/2004,2004,North Hollywood,San Fernando Valley,Los Angeles,Northridge,San Fernando Valley,Los Angeles,Area Local,Local,Library
216,Valley Traffic Division / Bureau Headquarters,Police,91345,6,completed,90025,10/21/2003,"$184,302 ","$151,200 ",10/21/2003,1/14/2004,7/8/2009,"12,329","9,981",673,"1,750",805,190,40,"6,538","5,703","4,398","2,532",NA,NA,"47,493.67",NA,,213,91345,Police,6,completed,90025,10/21/2003,"$184,302 ","$151,200 ",10/21/2003,1/14/2004,7/8/2009,Los Angeles (Mission Hills),"302,900","301,000","364,650","411,300","431,650",Police,91345,6,completed,90025,10/21/2003,"$184,302 ","$151,200 ",10/21/2003,1/14/2004,7/8/2009,2009,Mission Hills,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Fire/Police Station
217,Van Ness Childcare Center,Rec+Parks,90043,8,completed,90046,9/1/1998,"$9,100 ","$7,600 ",9/1/1998,3/31/1999,8/2/2001,"13,049","4,923","29,500",380,"1,922",273,39,"15,289","12,878","12,150","6,299",NA,NA,"30,989.52",NA,,103,90043,Rec+Parks,8,completed,90046,9/1/1998,"$9,100 ","$7,600 ",9/1/1998,3/31/1999,8/2/2001,Los Angeles (Hyde Park)/View Park/Windsor Hills,"300,050","307,950","363,200","404,550","428,400",Rec+Parks,90043,8,completed,90046,9/1/1998,"$9,100 ","$7,600 ",9/1/1998,3/31/1999,8/2/2001,2001,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Adult/Childcare and Development
218,Van Ness Park Gymnasium,Rec+Parks,90043,8,completed,90026,11/20/2003,"$18,080 ","$14,825 ",11/20/2002,10/21/2004,9/21/2006,"13,049","4,923","29,500",380,"1,922",273,39,"15,289","12,878","12,150","6,299",NA,NA,"30,989.52",NA,,102,90043,Rec+Parks,8,completed,90026,11/20/2003,"$18,080 ","$14,825 ",11/20/2002,10/21/2004,9/21/2006,Los Angeles (Hyde Park)/View Park/Windsor Hills,"300,050","307,950","363,200","404,550","428,400",Rec+Parks,90043,8,completed,90026,11/20/2003,"$18,080 ","$14,825 ",11/20/2002,10/21/2004,9/21/2006,2006,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Recreation
219,Van Nuys Blvd. Bridge,BIP,91405,6,completed,92104,6/18/1999,"$12,000 ","$12,000 ",6/18/1999,N/A,1/23/2002,"30,942","26,715","2,649","4,119","2,459",329,79,"18,942","18,320","11,364","4,351",NA,NA,"47,493.67",NA,,238,91405,BIP,6,completed,92104,6/18/1999,"$12,000 ","$12,000 ",6/18/1999,N/A,1/23/2002,Los Angeles (Van Nuys),"322,900","330,450","394,500","451,300","471,300",BIP,91405,6,completed,92104,6/18/1999,"$12,000 ","$12,000 ",6/18/1999,N/A,1/23/2002,2002,Van Nuys,San Fernando Valley,Los Angeles,San Diego,San Diego,San Diego,Not Local,From California,Bridge/Road Infrastructure
220,Van Nuys Field Service Building No. 3,DWP,91405,2,completed,93003,1/11/2004,"$45,000 ","$36,900 ",1/13/2004,7/6/2004,8/17/2007,"30,942","26,715","2,649","4,119","2,459",329,79,"18,942","18,320","11,364","4,351",NA,NA,"38,673.58",NA,,237,91405,DWP,2,completed,93003,1/11/2004,"$45,000 ","$36,900 ",1/13/2004,7/6/2004,8/17/2007,Los Angeles (Van Nuys),"322,900","330,450","394,500","451,300","471,300",DWP,91405,2,completed,93003,1/11/2004,"$45,000 ","$36,900 ",1/13/2004,7/6/2004,8/17/2007,2007,Van Nuys,San Fernando Valley,Los Angeles,Ventura,Ventura,Ventura,Not Local,From California,City Infrastructure
221,Van Nuys Fire Station 39,Fire,91411,6,active,90094,9/15/2014,"$100,000 ","$82,000 ",,,,"12,699","14,277","1,403","1,591","1,160",196,25,"8,059","9,691","5,448","2,260",NA,NA,"47,493.67",NA,,244,91411,Fire,6,active,90094,9/15/2014,"$100,000 ","$82,000 ",,,,Los Angeles (Van Nuys),"448,700","457,650","549,050","606,100","619,050",Fire,91411,6,active,90094,9/15/2014,"$100,000 ","$82,000 ",,,,,Van Nuys,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Fire/Police Station
222,Van Nuys Flyaway,LAWA,91401,6,completed,90013,4/17/2006,"$217,000 ","$217,000 ",4/19/2006,4/4/2006,5/27/2009,"16,675","25,645","1,864","2,135","1,763",290,31,"12,568","14,111","10,114","3,990",NA,NA,"47,493.67",NA,,230,91401,LAWA,6,completed,90013,4/17/2006,"$217,000 ","$217,000 ",4/19/2006,4/4/2006,5/27/2009,Los Angeles (Van Nuys),"471,950","485,150","602,650","644,750","671,950",LAWA,91401,6,completed,90013,4/17/2006,"$217,000 ","$217,000 ",4/19/2006,4/4/2006,5/27/2009,2009,Van Nuys,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Airport
223,Van Nuys/Sherman Oaks Gymnasium,Rec+Parks,91423,4,completed,90045,9/26/2002,"$16,890 ","$13,850 ",9/26/2002,3/12/2003,8/22/2005,"3,714","24,792","1,601","1,998","1,300",86,33,"7,243","12,666","8,408","3,959",NA,NA,"58,888.16",NA,,245,91423,Rec+Parks,4,completed,90045,9/26/2002,"$16,890 ","$13,850 ",9/26/2002,3/12/2003,8/22/2005,Los Angeles (Sherman Oaks),"738,500","755,050","902,900","947,500","1,013,750",Rec+Parks,91423,4,completed,90045,9/26/2002,"$16,890 ","$13,850 ",9/26/2002,3/12/2003,8/22/2005,2005,Sherman Oaks,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
224,Van Nuys/Sherman Oaks Swimming Pool,Rec+Parks,91423,4,completed,90039,12/1/1997,"$20,000 ","$17,000 ",12/1/1997,5/27/1998,9/25/2002,"3,714","24,792","1,601","1,998","1,300",86,33,"7,243","12,666","8,408","3,959",NA,NA,"58,888.16",NA,,247,91423,Rec+Parks,4,completed,90039,12/1/1997,"$20,000 ","$17,000 ",12/1/1997,5/27/1998,9/25/2002,Los Angeles (Sherman Oaks),"738,500","755,050","902,900","947,500","1,013,750",Rec+Parks,91423,4,completed,90039,12/1/1997,"$20,000 ","$17,000 ",12/1/1997,5/27/1998,9/25/2002,2002,Sherman Oaks,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Recreation
225,Vanowen St. Bridge over Bull Creek,BIP,91406,6,completed,90731,7/15/2002,"$8,820 ","$7,232 ",N/A,N/A,,"28,646","28,887","2,774","4,035","2,854",415,75,"18,452","18,684","12,020","4,284",NA,NA,"47,493.67",NA,,242,91406,BIP,6,completed,90731,7/15/2002,"$8,820 ","$7,232 ",N/A,N/A,,Los Angeles (Van Nuys),"326,000","333,700","412,350","457,850","475,100",BIP,91406,6,completed,90731,7/15/2002,"$8,820 ","$7,232 ",N/A,N/A,,,Van Nuys,San Fernando Valley,Los Angeles,San Pedro,LA Harbor Area,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
226,Vanowen St. Bridge over LA River,BIP,91306,3,completed,90039,9/22/2003,"$34,000 ","$6,000 ",N/A,4/26/2007,,"21,370","22,146","2,083","8,048","2,395",263,55,"15,469","15,384","11,289","4,580",NA,NA,"65,860.47",NA,,183,91306,BIP,3,completed,90039,9/22/2003,"$34,000 ","$6,000 ",N/A,4/26/2007,,Los Angeles (Winnetka),"334,700","339,100","408,100","449,000","460,800",BIP,91306,3,completed,90039,9/22/2003,"$34,000 ","$6,000 ",N/A,4/26/2007,,,Winnetka,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Bridge/Road Infrastructure
227,Venice-Abbot Kinney Branch Library,Library,90291,11,completed,91776,10/1/1994,"$27,500 ","$27,500 ",10/1/1994,3/21/1995,8/1/1996,"5,668","21,817","1,491","1,251","1,293",197,50,"5,647","14,087","7,093","2,501",NA,NA,"82,595.81",NA,,164,90291,Library,11,completed,91776,10/1/1994,"$27,500 ","$27,500 ",10/1/1994,3/21/1995,8/1/1996,Los Angeles (Venice),"844,250","936,800","1,163,000","1,379,650","1,501,000",Library,90291,11,completed,91776,10/1/1994,"$27,500 ","$27,500 ",10/1/1994,3/21/1995,8/1/1996,1996,Venice,West Side,Los Angeles,San Gabriel,0,Los Angeles,City Artist,Local,Library
228,"Venice Beach Rose Avenue, Restroom Renovation",BOE,90291,11,completed,90031,6/16/2015,"$7,500 ","$6,150 ",6/16/2015,NA,6/15/2016,"5,668","21,817","1,491","1,251","1,293",197,50,"5,647","14,087","7,093","2,501",NA,NA,"82,595.81",NA,,163,90291,BOE,11,completed,90031,6/16/2015,"$7,500 ","$6,150 ",6/16/2015,NA,6/15/2016,Los Angeles (Venice),"844,250","936,800","1,163,000","1,379,650","1,501,000",BOE,90291,11,completed,90031,6/16/2015,"$7,500 ","$6,150 ",6/16/2015,NA,6/15/2016,2016,Venice,West Side,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Municipal Building
229,Vermont Square Branch Library,Library,90037,9,completed,95064,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,9/6/1995,1/23/1997,"46,954","16,395","13,893",540,"2,521",686,58,"27,119","21,033","12,343","3,889",NA,NA,"28,883.41",NA,,95,90037,Library,9,completed,95064,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,9/6/1995,1/23/1997,Los Angeles (South L.A.),"206,850","212,550","268,300","326,700","358,800",Library,90037,9,completed,95064,10/1/1994,"$19,000 ","$19,000 ",10/1/1994,9/6/1995,1/23/1997,1997,Los Angeles,Los Angeles,Los Angeles,Santa Cruz,Santa Cruz,Santa Cruz,Not Local,From California,Library
230,Victory Vineland Childcare Center,Rec+Parks,91605,2,completed,91202,6/19/2001,"$15,448 ","$15,000 ",1/14/2003,4/9/2004,6/28/2005,"35,668","27,562","1,933","5,525","2,590",371,38,"21,686","19,011","12,784","4,780",NA,NA,"38,673.58",NA,,257,91605,Rec+Parks,2,completed,91202,6/19/2001,"$15,448 ","$15,000 ",1/14/2003,4/9/2004,6/28/2005,Los Angeles (North Hollywood),"299,550","304,400","352,700","419,200","445,200",Rec+Parks,91605,2,completed,91202,6/19/2001,"$15,448 ","$15,000 ",1/14/2003,4/9/2004,6/28/2005,2005,North Hollywood,San Fernando Valley,Los Angeles,Glendale,Glendale,Los Angeles,City Artist,Local,Adult/Childcare and Development
231,Warner Streetscape & Transit Hub,DOT,91367,3,completed,91406,2/29/2000,"$30,000 ","$46,378 ",6/19/2000,9/17/2002,7/8/2005,"4,375","29,153","1,824","4,882","1,979",152,56,"10,315","13,168","11,020","6,517",NA,NA,"65,860.47",NA,,226,91367,DOT,3,completed,91406,2/29/2000,"$30,000 ","$46,378 ",6/19/2000,9/17/2002,7/8/2005,Los Angeles (Woodland Hills),"549,450","555,850","677,250","716,950","731,900",DOT,91367,3,completed,91406,2/29/2000,"$30,000 ","$46,378 ",6/19/2000,9/17/2002,7/8/2005,2005,Woodland Hills,San Fernando Valley,Los Angeles,Van Nuys,San Fernando Valley,Los Angeles,Area Local,Local,Public Transport
232,Washington Irving Branch Library,Library,90016,10,completed,90221,6/1/1993,"$23,000 ","$23,000 ",6/1/1993,,4/12/2001,"25,462","11,653","17,829","1,473","2,375",429,54,"17,324","16,059","11,210","4,767",NA,NA,"38,673.58",NA,,47,90016,Library,10,completed,90221,6/1/1993,"$23,000 ","$23,000 ",6/1/1993,,4/12/2001,Los Angeles (Mid-City),"305,650","316,650","398,050","444,950","490,950",Library,90016,10,completed,90221,6/1/1993,"$23,000 ","$23,000 ",6/1/1993,,4/12/2001,2001,Los Angeles,Los Angeles,Los Angeles,Compton,0,Los Angeles,City Artist,Local,Library
233,Watts Branch Library,Library,90002,15,completed,90016,5/1/1992,"$25,000 ","$5,000 ",11/1/1995,,3/18/1997,"37,598","14,392","13,101",148,"1,939",371,33,"25,157","15,682","9,078","2,922",NA,NA,"44,302.32",NA,,1,90002,Library,15,completed,90016,5/1/1992,"$25,000 ","$5,000 ",11/1/1995,,3/18/1997,Los Angeles (Watts),"163,000","173,550","207,900","244,900","270,150",Library,90002,15,completed,90016,5/1/1992,"$25,000 ","$5,000 ",11/1/1995,,3/18/1997,1997,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
234,Watts Fire Station No. 65,Fire,90002,15,completed,90046,12/5/2002,"$66,831 ","$53,200 ",12/5/2002,1/13/2004,,"37,598","14,392","13,101",148,"1,939",371,33,"25,158","15,682","9,078","2,923",NA,NA,"44,302.32",NA,,2,90002,Fire,15,completed,90046,12/5/2002,"$66,831 ","$53,200 ",12/5/2002,1/13/2004,,Los Angeles (Watts),"163,000","173,550","207,900","244,900","270,150",Fire,90002,15,completed,90046,12/5/2002,"$66,831 ","$53,200 ",12/5/2002,1/13/2004,,,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
235,West LA Animal Care & Services Center,Animal Services,90064,11,completed,90019,4/29/2003,"$70,600 ","$58,000 ",4/29/2003,11/6/2003,10/23/2007,"3,828","17,703",670,"4,265","1,297",68,26,"6,744","8,921","6,748","3,947",NA,NA,"82,595.81",NA,,148,90064,Animal Services,11,completed,90019,4/29/2003,"$70,600 ","$58,000 ",4/29/2003,11/6/2003,10/23/2007,Los Angeles (Cheviot Hills/Rancho Park),"884,300","929,950","1,114,500","1,189,750","1,304,900",Animal Services,90064,11,completed,90019,4/29/2003,"$70,600 ","$58,000 ",4/29/2003,11/6/2003,10/23/2007,2007,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Animal Services
236,West LA Parking Structure,DOT,90064,5,completed,90046,1/1/1996,"$37,000 ","$30,000 ",1/1/1996,,10/20/1999,"3,825","17,703",670,"4,265","1,297",68,26,"6,744","8,921","6,748","3,947",NA,NA,"64,545.08",NA,,147,90064,DOT,5,completed,90046,1/1/1996,"$37,000 ","$30,000 ",1/1/1996,,10/20/1999,Los Angeles (Cheviot Hills/Rancho Park),"884,300","929,950","1,114,500","1,189,750","1,304,900",DOT,90064,5,completed,90046,1/1/1996,"$37,000 ","$30,000 ",1/1/1996,,10/20/1999,1999,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Public Parking
237,West Valley Animal Care & Services Center,Animal Services,91311,12,completed,92371,11/4/2002,"$123,000 ","$100,860 ",11/4/2002,4/9/2003,2/8/2007,"7,934","24,118","1,540","6,036","1,705",208,58,"10,222","10,812","11,510","5,634",NA,NA,"66,792.32",NA,,188,91311,Animal Services,12,completed,92371,11/4/2002,"$123,000 ","$100,860 ",11/4/2002,4/9/2003,2/8/2007,Los Angeles (Chatsworth),"451,200","448,050","509,150","582,800","601,550",Animal Services,91311,12,completed,92371,11/4/2002,"$123,000 ","$100,860 ",11/4/2002,4/9/2003,2/8/2007,2007,Chatsworth,San Fernando Valley,Los Angeles,Phelan,San Bernardino,San Bernardino,Not Local,From California,Animal Services
238,West Valley Branch Library,Library,91335,3,completed,90066,10/12/2000,"$20,000 ","$20,000 ",10/12/2000,1/11/2000,7/23/2002,"37,606","39,990","3,029","9,201","3,895",494,90,"25,595","25,038","18,320","8,227",NA,NA,"65,860.47",NA,,203,91335,Library,3,completed,90066,10/12/2000,"$20,000 ","$20,000 ",10/12/2000,1/11/2000,7/23/2002,Los Angeles (Reseda),"312,850","318,300","390,700","429,350","446,850",Library,91335,3,completed,90066,10/12/2000,"$20,000 ","$20,000 ",10/12/2000,1/11/2000,7/23/2002,2002,Reseda,San Fernando Valley,Los Angeles,Los Angeles,Los Angeles,Los Angeles,City Artist,Local,Library
239,West Valley Police Station,Police,91335,3,completed,90405,7/15/2003,"$175,000 ","$100,450 ",7/15/2003,12/17/2003,3/16/2005,"37,606","39,990","3,029","9,201","3,895",494,90,"25,595","25,038","18,320","8,227",NA,NA,"65,860.47",NA,,204,91335,Police,3,completed,90405,7/15/2003,"$175,000 ","$100,450 ",7/15/2003,12/17/2003,3/16/2005,Los Angeles (Reseda),"312,850","318,300","390,700","429,350","446,850",Police,91335,3,completed,90405,7/15/2003,"$175,000 ","$100,450 ",7/15/2003,12/17/2003,3/16/2005,2005,Reseda,San Fernando Valley,Los Angeles,Santa Monica,West Side,Los Angeles,City Artist,Local,Fire/Police Station
240,West Valley Police Station | Youth Apprenticeship in Public Art [YAPA],Police,91335,3,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,"37,606","39,990","3,029","9,201","3,895",494,90,"25,595","25,038","18,320","8,227",NA,NA,"65,860.47",NA,,202,91335,Police,3,in development,tbd,tbd,"$89,948 ","$73,758 ",,,,Los Angeles (Reseda),"312,850","318,300","390,700","429,350","446,850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,Westchester-Loyola Village Branch Library,Library,90045,11,completed,90031,2/26/2001,"$20,000 ","$20,000 ",2/26/2001,3/26/2001,2/25/2003,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,132,90045,Library,11,completed,90031,2/26/2001,"$20,000 ","$20,000 ",2/26/2001,3/26/2001,2/25/2003,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",Library,90045,11,completed,90031,2/26/2001,"$20,000 ","$20,000 ",2/26/2001,3/26/2001,2/25/2003,2003,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
242,Westchester Fire Station No. 5 [#2],Fire,90045,11,completed,90042,2/19/2008,"$72,370 ","$47,000 ",2/19/2008,3/16/2009,2/18/2011,"7,203","24,136","5,605","4,751","2,396",148,135,"13,999","12,598","10,006","4,425",NA,NA,"82,595.81",NA,,121,90045,Fire,11,completed,90042,2/19/2008,"$72,370 ","$47,000 ",2/19/2008,3/16/2009,2/18/2011,Los Angeles (Westchester/LAX),"669,850","657,650","762,850","828,400","885,000",Fire,90045,11,completed,90042,2/19/2008,"$72,370 ","$47,000 ",2/19/2008,3/16/2009,2/18/2011,2011,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Fire/Police Station
243,Westwood Branch Library [#1],Library,90024,5,completed,90086,6/28/2001,"$20,000 ","$20,000 ",6/28/2001,1/8/2002,4/20/2005,"4,314","29,232","1,018","12,615","2,608",79,58,"25,514","11,056","6,058","3,562",NA,NA,"64,545.08",NA,,60,90024,Library,5,completed,90086,6/28/2001,"$20,000 ","$20,000 ",6/28/2001,1/8/2002,4/20/2005,Los Angeles (Westwood),"1,679,600","1,733,750","1,930,750","2,122,650","2,351,500",Library,90024,5,completed,90086,6/28/2001,"$20,000 ","$20,000 ",6/28/2001,1/8/2002,4/20/2005,2005,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Library
244,Westwood Branch Library [#2],Library,90024,5,completed,92870,9/1/2004,"$15,000 ","$15,000 ",9/1/2004,n/a,5/3/2005,"4,314","29,232","1,018","12,615","2,608",79,59,"25,514","11,056","6,058","3,562",NA,NA,"64,545.08",NA,,58,90024,Library,5,completed,92870,9/1/2004,"$15,000 ","$15,000 ",9/1/2004,n/a,5/3/2005,Los Angeles (Westwood),"1,679,600","1,733,750","1,930,750","2,122,650","2,351,500",Library,90024,5,completed,92870,9/1/2004,"$15,000 ","$15,000 ",9/1/2004,n/a,5/3/2005,2005,Los Angeles,Los Angeles,Los Angeles,Placentia,Orange,Orange,Not Local,From California,Library
245,Westwood Parking Structure,DOT,90024,5,completed,90065,2/1/1997,"$70,000 ","$70,000 ",2/1/1997,5/8/1997,12/15/2000,"4,314","29,232","1,018","12,615","2,608",79,57,"25,514","11,056","6,058","3,562",NA,NA,"64,545.08",NA,,59,90024,DOT,5,completed,90065,2/1/1997,"$70,000 ","$70,000 ",2/1/1997,5/8/1997,12/15/2000,Los Angeles (Westwood),"1,679,600","1,733,750","1,930,750","2,122,650","2,351,500",DOT,90024,5,completed,90065,2/1/1997,"$70,000 ","$70,000 ",2/1/1997,5/8/1997,12/15/2000,2000,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Los Angeles,Neighborhood Artist,Local,Public Parking
